Copy of Full Schedule,,
"Increment 1, Sector B (Lev G,1,2): Demo, Superstructure, Building Envelope",,
"perform patching work as needed  GL, Sector A",,
"erect temp barrier GL, Sector A",,
"install ext. DDA GL, Sector A",,
"rough in ceiling  MEP work GL, sector A",,
"install interior non-rated partitions GL, Sector A",,
"finish MEP work GL, sector A",,
"replace light fixtures 1L, Sector A",,
"plaster walls GL, Sector A",,
"paint walls GL, Sector A",,
"install floor finishes GL, Sector A",,
"install ceiling finishes GL, Sector A",,
"testing and commissioning GL, Sector A",,
Sector A (Lev 1) needs to be after sector b,,
"rough in ceiling MEP work 1L, sector A",,
"install interior non-rated partitions, door 1L, Sector A",,
"finish MEP work 1L, sector A",,
"install equipment, casework 1L, Sector A",,
"install side coiling security door 1L, Sector A",,
"erect ceilings 1L, Sector A",,
"replace light fixtures 1L, Sector A",,
"create opening at south exterior side of wall 1L, Sector A",,
"install roll down door with egress 1L, Sector A",,
"remove temp barrier 1L, Sector A",,
"perform patching work as needed  1L, Sector A",,
"erect temp barrier 1L, Sector A",,
"remove, salvage column covers 1L, Sector A",,
"demo interior partitions and SDA 1L, Sector A",,
"demo all ceilings, salvage lights 1L, Sector A",,
"install seismic joints GL, Sector A",,
"rough in wall MEP work 1L, sector A",,
"reinstall column covers 1L, Sector A",,
"Increment 2, Phase 2: Interior Build Out",,
Sector A (Lev 1),,
"wait until New Main Connector occupancy 1L, Sector A",,
"wait until proposed IMOB occupancy 1L, Sector A",,
"erect temp barrier 1L, Sector A",,
"demo 2hr partition and DDA 1L, Sector A",,
"rough in MEP work GL, sector A",,
"erect interior partitions and SDA 1L, Sector A",,
"finish MEP work GL, sector A",,
"install ceilings 1L, Sector A",,
"remove temp barriers 1L, Sector A",,
"perform patching work as needed 1L, Sector A",,
"plaster walls 1L, Sector A",,
"paint walls 1L, Sector A",,
"install floor finishes 1L, Sector A",,
"install cieling finsihes 1L, Sector A",,
"testing and commissioning 1L, Sector A",,
Courtyard,,
install trees Courtyard,,
install concrete paving Courtyard,,
install light fixtures Courtyard,,
install courtyard furnishings Courtyard,,
protect trees Courtyard,,
install resin paving  Courtyard,,
